Stage,Round,Date,Team A,Team B,A Score,B Score,Best of,Winner,Loser,Score,,,,,
PGL Copenhagen Major 2024 Americas RMR,2 Low,02 March 2024,MIBR,NRG,2,0,3,MIBR,NRG,100%,,,,,
PGL Copenhagen Major 2024 Americas RMR,2 Low,02 March 2024,BESTIA,Wildcard,0,2,3,Wildcard,BESTIA,100%,,,,,
PGL Copenhagen Major 2024 Americas RMR,2 Low,02 March 2024,Nouns,Legacy,1,2,3,Legacy,Nouns,33%,,,,,
PGL Copenhagen Major 2024 Americas RMR,2 Low,02 March 2024,Elevate,ODDIK,1,2,3,ODDIK,Elevate,33%,,,,,
PGL Copenhagen Major 2024 Americas RMR,3 High,03 March 2024,paiN,Imperial,0,2,3,Imperial,paiN,100%,,,,,
PGL Copenhagen Major 2024 Americas RMR,3 High,03 March 2024,FURIA,COL,2,1,3,FURIA,COL,33%,,,,,
PGL Copenhagen Major 2024 Americas RMR,3 Low,03 March 2024,M80,Wildcard,2,1,3,M80,Wildcard,33%,,,,,
PGL Copenhagen Major 2024 Americas RMR,3 Low,03 March 2024,BOSS,Liquid,0,2,3,Liquid,BOSS,100%,,,,,
PGL Copenhagen Major 2024 Americas RMR,3 Low,03 March 2024,RED,ODDIK,1,2,3,ODDIK,RED,33%,,,,,
PGL Copenhagen Major 2024 Americas RMR,3 Low,03 March 2024,Legacy,MIBR,2,0,3,Legacy,MIBR,100%,,,,,
PGL Copenhagen Major 2024 Americas RMR,4,04 March 2024,paiN,ODDIK,2,0,3,paiN,ODDIK,100%,,,,,
PGL Copenhagen Major 2024 Americas RMR,4,04 March 2024,M80,Legacy,1,2,3,Legacy,M80,33%,,,,,
PGL Copenhagen Major 2024 Americas RMR,4,04 March 2024,COL,Liquid,2,1,3,COL,Liquid,33%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,1 High,26 February 2024,The MongolZ,Myth Avenue,13,4,1,The MongolZ,Myth Avenue,53%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,1 High,26 February 2024,ATOX Esports,Grayhound Gaming,4,13,1,Grayhound Gaming,ATOX Esports,53%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,1 High,26 February 2024,TYLOO,JiJieHao,13,11,1,TYLOO,JiJieHao,8%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,1 High,26 February 2024,Twisted Minds,Lynn Vision Gaming,7,13,1,Lynn Vision Gaming,Twisted Minds,30%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,1 Low,27 February 2024,Myth Avenue,ATOX Esports,0,2,3,ATOX Esports,Myth Avenue,100%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,1 Low,27 February 2024,JiJieHao,Twisted Minds,2,0,3,JiJieHao,Twisted Minds,100%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,2 High,26 February 2024,The MongolZ,Grayhound Gaming,13,4,1,The MongolZ,Grayhound Gaming,53%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,2 High,26 February 2024,TYLOO,Lynn Vision Gaming,6,13,1,Lynn Vision Gaming,TYLOO,37%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,2 Low,27 February 2024,TYLOO,ATOX Esports,1,2,3,ATOX Esports,TYLOO,33%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,2 Low,27 February 2024,Grayhound Gaming,JiJieHao,2,0,3,Grayhound Gaming,JiJieHao,100%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,2.5 Low,28 February 2024,ATOX Esports,Grayhound Gaming,1,2,3,Grayhound Gaming,ATOX Esports,33%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,3 High,28 February 2024,The MongolZ,Lynn Vision Gaming,2,0,3,The MongolZ,Lynn Vision Gaming,100%,,,,,
PGL Copenhagen Major 2024 Asia Pacific RMR,3 Low,28 February 2024,Lynn Vision Gaming,Grayhound Gaming,2,1,3,Lynn Vision Gaming,Grayhound Gaming,33%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,1,17 March 2024,C9,ECSTATIC,13,10,1,C9,ECSTATIC,13%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,1,17 March 2024,EF,The MongolZ,13,6,1,EF,The MongolZ,37%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,1,17 March 2024,Apeks,paiN,8,13,1,paiN,Apeks,24%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,1,17 March 2024,ENCE,Imperial,19,22,1,Imperial,ENCE,7%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,1,17 March 2024,HEROIC,Lynn Vision Gaming,13,5,1,HEROIC,Lynn Vision Gaming,44%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,1,17 March 2024,GL,AMKAL,13,8,1,GL,AMKAL,24%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,1,17 March 2024,SAW,KOI,13,4,1,SAW,KOI,53%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,1,17 March 2024,FURIA,Legacy,13,16,1,Legacy,FURIA,10%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,2 High,17 March 2024,C9,Legacy,13,10,1,C9,Legacy,13%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,2 High,17 March 2024,EF,paiN,13,2,1,EF,paiN,73%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,2 High,17 March 2024,HEROIC,Imperial,16,14,1,HEROIC,Imperial,7%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,2 High,17 March 2024,GL,SAW,9,13,1,SAW,GL,18%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,2 Low,17 March 2024,ENCE,KOI,16,12,1,ENCE,KOI,14%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,2 Low,17 March 2024,Apeks,AMKAL,16,13,1,Apeks,AMKAL,10%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,2 Low,17 March 2024,FURIA,Lynn Vision Gaming,9,13,1,Lynn Vision Gaming,FURIA,18%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,2 Low,17 March 2024,ECSTATIC,The MongolZ,13,10,1,ECSTATIC,The MongolZ,13%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,3 High,18 March 2024,C9,SAW,2,0,3,C9,SAW,100%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,3 High,18 March 2024,HEROIC,EF,2,0,3,HEROIC,EF,100%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,3 Mid,18 March 2024,Imperial,Apeks,13,7,1,Imperial,Apeks,30%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,3 Mid,18 March 2024,paiN,ENCE,13,3,1,paiN,ENCE,63%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,3 Mid,18 March 2024,GL,Legacy,13,4,1,GL,Legacy,53%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,3 Mid,18 March 2024,ECSTATIC,Lynn Vision Gaming,13,8,1,ECSTATIC,Lynn Vision Gaming,24%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,3 Low,18 March 2024,The MongolZ,AMKAL,2,1,3,The MongolZ,AMKAL,33%,,,,,
PGL Copenhagen Major 2024 Challengers Stage,3 Low,18 March 2024,KOI,FURIA,2,0,3,KOI,FURIA,100%,,,,,
